Date,Tournament,Prize Winnings,Placement
2019-05-19,Pro League Season 9 - Finals,"$50,000",2nd
2018-08-19,Six Major Paris 2018,"$55,000",2nd
2018-02-18,Six Invitational 2018,"$80,000",2nd
