Date,Tournament,Prize Winnings
2018-10-26,United States Nationals 2018 - Wild Card: Eastern Conference,-
2019-04-22,Pro League Season 9 - North America,-
2018-08-26,Sternab's Summer Arena - North America,$250
2019-09-24,United States Nationals 2019 - Stage 3: Western Qualifier #2,-
2018-10-22,Pro League Season 8 - North America,-
2018-07-25,OGA PIT Season 1 - North America,"$6,750"
2019-10-22,United States Nationals 2019 - Stage 3: Western Conference,"$1,000"
