Date,Tournament,Prize Winnings
2017-04-23,Athena Cup Open League #6,-
2017-05-06,The Overguard: Haste Overwatch $1k Series - Qualifier 2,-
2017-05-20,The Overguard: Haste Overwatch $1k Series,$780
2017-06-18,Athena Cup Open League Finals,$840
