ID,Name,Join Date,Leave Date
Ducky,Nick Robson,,2010-12-10
dummy,Tim Olson,,2010-12-10
cbear,Alex Isaac,,2010-12-10
cyzer,Paul Sandhu,2009-04-23,2010-12-10
-CB,Len Talarico,,2010-12-10
Reptile,Adam Dopko,,2010-12-10
