ID,Name,Join Date,Leave Date
Gnomey,Cole Garton,2017-10-23,2018-12-23
Pandaego,Jared Fletcher,2017-10-23,2017-12-18
Lush,Kellen Blukis,2017-12-18,2018-03-02
wo1f,Wolfgang Braun,2018-06-12,2018-12-23
zWattz,Austin Watts,2017-10-23,2018-12-23
GOUL,Timothy McClelland,2017-10-23,2018-03-02
decipLe,Mike Baker,2018-06-12,2018-12-23
