Date,Tournament,Prize Winnings,Placement
2012-11-21,2012 IGN Pro Team League,"$2,000",3rd - 4th
2013-03-28,2013 IGN Pro Team League,"$2,000",3rd - 4th
2011-03-20,GosuCoaching Premiere League Season 1,$500,3rd
