Date,Tournament,Prize Winnings
2015-04-18,SHOUTcraft Clan Wars April 2015 #4,$500
2012-02-02,vVv's Wednesday Night StarCraft #27,$100
2014-02-20,SHOUTcraft Clan Wars February 2014 #1,$500
2011-01-31,Machinima Realm Invitational,"$2,000"
2014-03-25,SHOUTcraft Clan Wars March 2014 #9,$500
