Date,Tournament,Prize Winnings,Placement
2015-07-26,Halo Championship Series Season 2: Finals,"$75,000",1st
2015-03-08,Halo Championship Series Season 1: Finals,"$50,000",1st
2005-11-19,World Cyber Games 2005,"$10,000",2nd
