Date,Tournament,Prize Winnings,Placement
2022-09-10,LCS Summer 2022,"$30,000",3rd
2022-04-24,LCS Spring 2022,"$100,000",1st
2013-04-28,EU LCS Spring 2013,"$15,000",3rd
2020-04-18,LCS Spring 2020,"$30,000",3rd
