Date,Tournament,Prize Winnings,Placement
2009-12-19,World e-Sports Masters 2009,"$14,000",1st
2009-08-23,BlizzCon 2009,"$10,000",2nd
2009-07-26,World e-Sports Games: e-Stars 2009 King of the Game,"$5,623.14",1st
2010-08-15,World e-Sports Games: e-Stars 2010 King of the Game,"$1,683",2nd
2010-04-25,NGL-One - Solo League,"$4,000",2nd
2010-10-03,World Cyber Games - 2010,"$3,000",2nd
