ID,Name,Join Date,Leave Date
Grubby,Manuel Schenkhuizen,2009-04-17,2011-03-31
Happy,Dmitry Kostin,2009-04-17,2010-01-23
Ciara,René Krag,2009-04-17,2011-03-29
