Date,Tournament,Prize Winnings
2015-02-28,Kings of the Storm: Weekly Cups #12,-
2014-12-20,Heroes Premier League NA Season 2: Qualifier #2,-
2015-02-21,Moment of Valor: Skill and Power,$200
2015-03-22,Go4Heroes Americas Cup #16,$100
2015-02-01,Go4Heroes Americas Cup #9,$100
