Date,Tournament,Prize Winnings
2014-06-22,MLG Call of Duty League 2014 Season 2,"$25,000"
2019-07-19,CWL Pro League 2019 - Play-In,-
2019-01-20,CWL Pro League 2019 Qualifier,-
2008-08-02,The eXperience 2008,"$14,631"
2018-08-19,Call of Duty World League Championship 2018,"$600,000"
2018-04-20,CWL Pro League 2018 Relegation,-
