ID,Name,Join Date,Leave Date
VIJU,Vijal Patel,20??-??-??,201?-??-??
czm,Paul Nelson,2008-05-30,201?-??-??
DaHanG,Tim Fogarty,2007-07-02,2013-11-??
chance,Chance Lacina,2007-07-02,201?-??-??
clampOK,Sabian Hayblum,20??-??-??,201?-??-??
gellehsak,Andrew Ryder,2006-01-03,201?-??-??
id_,Andrew Trulli,20??-??-??,201?-??-??
griffin,Tom Wall,2008-06-10,201?-??-??
